"source","category","in_code","occurrences"
"notebooks/hypotheses/H02.qmd","placement_sample",TRUE,53
"notebooks/hypotheses/H03.qmd","placement_sample",TRUE,51
"notebooks/hypotheses/H04.qmd","placement_sample",TRUE,50
"notebooks/hypotheses/H05.qmd","placement_sample",TRUE,80
"notebooks/hypotheses/H06.qmd","placement_sample",TRUE,31
"notebooks/hypotheses/H07.qmd","placement_sample",TRUE,31
"notebooks/hypotheses/H08.qmd","placement_sample",TRUE,36
"notebooks/hypotheses/H09.qmd","placement_sample",TRUE,23
"notebooks/hypotheses/H10.qmd","placement_sample",TRUE,34
"notebooks/hypotheses/H11.qmd","placement_sample",TRUE,50
"notebooks/preparation/01_import_state_alignment.qmd","placement_sample",TRUE,34
"notebooks/preparation/02_coverage_sample_flow.qmd","placement_sample",TRUE,19
"notebooks/preparation/03_reference_profiles.qmd","placement_sample",TRUE,23
"notebooks/preparation/04_metric_derivation.qmd","placement_sample",TRUE,39
"notebooks/preparation/06_model_ready_datasets.qmd","placement_sample",TRUE,43
"notebooks/preparation/07_example_days.qmd","placement_sample",TRUE,5
"audit/hypotheses/H01/H01_analysis_preparation.qmd","specialist",TRUE,20
"audit/hypotheses/H02/H02_analysis_preparation.qmd","specialist",TRUE,35
"audit/hypotheses/H03/H03_analysis_preparation.qmd","specialist",TRUE,47
"audit/hypotheses/H04/H04_analysis_preparation.qmd","specialist",TRUE,40
"audit/hypotheses/H05/H05_analysis_preparation.qmd","specialist",TRUE,22
"audit/hypotheses/H06/H06_analysis_preparation.qmd","specialist",TRUE,23
"audit/hypotheses/H07/H07_analysis_preparation.qmd","specialist",TRUE,18
"audit/hypotheses/H08/H08_analysis_preparation.qmd","specialist",TRUE,20
"audit/hypotheses/H09/H09_analysis_preparation.qmd","specialist",TRUE,21
"audit/hypotheses/H10/H10_analysis_preparation.qmd","specialist",TRUE,20
"audit/hypotheses/H11/H11_analysis_preparation.qmd","specialist",TRUE,26
"notebooks/hypotheses/H01.qmd","specialist",TRUE,79
"notebooks/hypotheses/H02.qmd","specialist",TRUE,39
"notebooks/hypotheses/H03.qmd","specialist",TRUE,42
"notebooks/hypotheses/H04.qmd","specialist",TRUE,62
"notebooks/hypotheses/H05.qmd","specialist",TRUE,34
"notebooks/hypotheses/H06.qmd","specialist",TRUE,32
"notebooks/hypotheses/H07.qmd","specialist",TRUE,22
"notebooks/hypotheses/H08.qmd","specialist",TRUE,34
"notebooks/hypotheses/H09.qmd","specialist",TRUE,25
"notebooks/hypotheses/H10.qmd","specialist",TRUE,36
"notebooks/hypotheses/H11.qmd","specialist",TRUE,42
"notebooks/preparation/04_metric_derivation.qmd","specialist",TRUE,8
"notebooks/preparation/06_model_ready_datasets.qmd","specialist",TRUE,2
"notebooks/preparation/07_example_days.qmd","specialist",TRUE,2
