run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,random_site_sd,random_site_singular,fixed_site_aic,random_site_aic,random_minus_fixed_aic,status
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,0.04970542276821034,FALSE,677.7446832482215,676.0426905715871,-1.7019926766344042,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.0947158336089197,FALSE,1290.0149238632332,1289.971030121056,-0.04389374217726072,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.10274325738441302,FALSE,92.473256257940335,99.87846621466797,7.405209956727617,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,6,duration_above_1000,participant_day,tweedie_log,identity,,FALSE,1803.481057486481,1805.4463481127584,1.965290626277465,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,7,duration_above_250_wake,participant_day,tweedie_log,identity,,FALSE,2352.093405704178,2356.742604494603,4.649198790424634,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,0,TRUE,1715.8343592715491,1712.5583867720875,-3.275972499461659,DESCRIPTIVE_UNSTABLE
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,,FALSE,2730.3673245400596,2730.6657455466407,0.29842100658106574,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,0,TRUE,536.8871582298569,532.1534646699257,-4.7336935599312255,DESCRIPTIVE_UNSTABLE
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,11,m10_midpoint,participant_day,gaussian,clock_hours,0.5427983561379631,FALSE,2648.939513166301,2657.3060412759755,8.366528109674618,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,0.5622593045100699,FALSE,2511.1597924713747,2521.0780204931493,9.918228021774668,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,0.857007739812355,FALSE,2313.9032392147137,2330.9410969271544,17.037857712440655,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,0.654166893486824,FALSE,2628.5083644607275,2635.5206675417785,7.012303081050959,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,15,last_timing_above_250,participant_day,gaussian,clock_hours,0.8552875903687148,FALSE,2529.5357008347155,2543.6770754080535,14.141374573337998,DESCRIPTIVE_PASS
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,0.08821153353921056,FALSE,1408.335431679472,1410.215356239713,1.879924560240852,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,1,interdaily_stability,participant,gaussian,logit,,,168.1646756951912,,,NON_ESTIMABLE
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,2,intradaily_variability,participant,gaussian,identity,,,136.92422850085217,,,NON_ESTIMABLE
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,0.10879806104545071,FALSE,616.6222754794376,621.7584458312257,5.13617035178811,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.13618581077910047,FALSE,1381.4664354190816,1385.4534303900684,3.9869949709868706,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.11736088076183344,FALSE,23.50107701224259,33.13868021238292,9.637603200140331,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,6,duration_above_1000,participant_day,tweedie_log,identity,,FALSE,2233.6136014426183,2234.450476496962,0.8368750543436363,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,7,duration_above_250_wake,participant_day,tweedie_log,identity,,FALSE,3065.336005214466,3069.1212127944536,3.785207579987855,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,0,TRUE,2159.8562526851056,2158.5192597300024,-1.336992955103142,DESCRIPTIVE_UNSTABLE
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,,FALSE,3330.8109309826823,3330.1622744394926,-0.6486565431896452,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,3.305303972032497e-9,TRUE,670.5015003124947,665.7212688546095,-4.780231457885179,DESCRIPTIVE_UNSTABLE
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,11,m10_midpoint,participant_day,gaussian,clock_hours,0.48179204610266746,FALSE,3194.7955133769888,3203.3602540732913,8.564740696302579,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,0.3766321190270761,FALSE,3159.9567206654056,3166.105269240287,6.148548574881261,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,13,mean_timing_above_250,participant_day,gaussian,clock_hours,0.8069464010013746,FALSE,3006.3209863121942,3025.464855810464,19.14386949826985,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,14,first_timing_above_250,participant_day,gaussian,clock_hours,0.3539609892894071,FALSE,3529.139199181401,3531.3394062460357,2.200207064634469,DESCRIPTIVE_PASS
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,15,last_timing_above_250,participant_day,gaussian,clock_hours,0.9687319012771494,FALSE,3465.1813088850854,3479.837214159996,14.655905274910763,DESCRIPTIVE_PASS
