run_id,model_role,participant_key,observations,score_energy,score_share,leverage,leverage_share,score_rank,leverage_rank
gap_timing_unaware__chest__all_available,additive,KNUST::KNUST_S006,138,1.5149123244453964,1.5762497936761967e-4,0.0981574273091407,0.008923402482649145,124,35
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S017,45,1.4544221462506473,1.5133104213043889e-4,0.03191741951787425,0.00290158359253402,125,140
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S006,137,1.4318061481430957,1.489778721300654e-4,0.044198910932911,0.004018082812082813,126,120
gap_timing_unaware__chest__all_available,additive,KNUST::KNUST_S001,91,1.4141372976951239,1.4713944746193772e-4,0.0452002054171817,0.004109109583380149,127,116
gap_timing_unaware__chest__all_available,additive,RISE::RISE_S013,115,1.3433779756468462,1.3977701697804172e-4,0.09009390829549085,0.008190355299590068,128,44
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S038,120,1.2292521029594852,1.279023440762666e-4,0.05536036441913587,0.005032760401739619,129,97
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S005,141,1.2001840656502365,1.2487784641577996e-4,0.06822832279359543,0.00620257479941776,130,82
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S006,139,1.1746475613263925,1.222208009206615e-4,0.08312117911231842,0.007556470828392575,131,59
gap_timing_unaware__chest__all_available,additive,THUAS::THUAS_S014,87,1.0185739335484474,1.0598150973439796e-4,0.058195433666961414,0.005290493969723759,132,92
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S008,72,0.903031284880566,9.395942283308345e-5,0.02656659156814273,0.0024151446880129727,133,145
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S013,96,0.8850015373545392,9.208344721658446e-5,0.0336271500290883,0.003057013639008024,134,136
gap_timing_unaware__chest__all_available,additive,BAUA::BAUA_S004,135,0.867193059987638,9.023049451943469e-5,0.1172107691403821,0.010655524467307451,135,15
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S013,144,0.7552316037303828,7.85810267926609e-5,0.0676064423031913,0.00614604020938102,136,84
gap_timing_unaware__chest__all_available,additive,FUSPCEU::FUSPCEU_S012,144,0.7467288399882701,7.769632347498943e-5,0.07176078393003346,0.006523707630003034,137,74
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S003,143,0.7218233427354991,7.510493357917777e-5,0.05500120940248823,0.005000109945680743,138,98
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S015,136,0.7114057766968535,7.402099716556156e-5,0.06768837794825223,0.00615348890438656,139,83
gap_timing_unaware__chest__all_available,additive,UCR::UCR_S037,136,0.5729236837458273,5.961208604116265e-5,0.044092605977154434,0.004008418725195853,140,121
gap_timing_unaware__chest__all_available,additive,IZTECH::IZTECH_S004,142,0.567756053588063,5.907439974483175e-5,0.07088898159764298,0.006444452872512991,141,76
